거래일시,구분,금액,거래후잔액,상대방
2026-07-01 11:19:00,입금,98810,98810,김OO
2026-07-16 16:07:00,입금,198840,297650,한OO
2026-08-28 13:40:55,입금,1650374,1948024,장OO
2026-08-28 15:00:07,출금,1432758,515266,타행이체
2026-08-28 17:26:42,입금,1094884,1610150,조OO
2026-08-28 20:17:05,출금,877178,732972,타행이체
2026-08-29 01:36:19,입금,1554035,2287007,김OO
2026-08-29 02:30:49,입금,1736872,4023879,조OO
2026-08-29 02:52:59,입금,1853861,5877740,오OO
2026-08-29 03:40:35,출금,1771813,4105927,타행이체
2026-08-29 03:46:07,출금,1602941,2502986,타행이체
2026-08-29 03:46:29,출금,1366178,1136808,타행이체
2026-08-30 01:14:36,입금,1263154,2399962,박OO
2026-08-30 02:56:19,출금,1108223,1291739,타행이체
2026-08-30 13:09:14,입금,1583548,2875287,오OO
2026-08-30 15:01:37,출금,1393586,1481701,타행이체
