거래일시,구분,금액,거래후잔액,상대방
2026-06-10 13:57:00,입금,218197,218197,강OO
2026-06-10 17:09:00,입금,50668,268865,정OO
2026-06-13 20:50:00,입금,201294,470159,신OO
2026-06-13 21:34:00,입금,238358,708517,강OO
2026-06-21 09:49:00,입금,273409,981926,신OO
2026-06-23 18:49:00,입금,101711,1083637,신OO
2026-06-27 18:05:00,입금,41502,1125139,신OO
2026-06-28 14:56:00,출금,150956,974183,생활비
2026-07-03 19:17:00,입금,37297,1011480,정OO
2026-07-05 17:18:00,입금,224759,1236239,윤OO
2026-07-06 09:06:00,입금,55713,1291952,강OO
2026-07-08 11:37:00,입금,221814,1513766,강OO
2026-07-16 12:33:00,입금,116268,1630034,정OO
2026-07-19 14:55:00,입금,167448,1797482,강OO
2026-07-25 13:35:00,입금,129683,1927165,강OO
2026-07-29 11:10:00,출금,123774,1803391,생활비
2026-07-31 15:08:00,입금,201969,2005360,강OO
2026-08-06 19:50:00,입금,180048,2185408,신OO
2026-08-10 09:26:00,입금,221292,2406700,신OO
2026-08-17 19:27:00,입금,275540,2682240,윤OO
2026-08-19 11:21:00,출금,337839,2344401,재료비
2026-08-21 21:16:00,입금,184739,2529140,신OO
