거래일시,구분,금액,거래후잔액,상대방
2026-08-04 04:00:00,입금,577501,577501,이OO
2026-08-04 04:44:08,출금,328901,248600,ATM 출금
2026-08-05 02:45:02,입금,302805,551405,윤OO
2026-08-05 04:17:04,출금,208319,343086,ATM 출금
2026-08-06 04:04:37,입금,602099,945185,정OO
2026-08-06 05:37:53,출금,410398,534787,ATM 출금
2026-08-07 05:57:03,입금,577405,1112192,서OO
2026-08-07 07:23:18,출금,441410,670782,ATM 출금
2026-08-09 23:17:15,입금,745790,1416572,장OO
2026-08-10 00:07:29,출금,417340,999232,ATM 출금
2026-08-09 23:56:38,입금,449145,1448377,김OO
2026-08-10 00:41:34,출금,279837,1168540,ATM 출금
2026-08-11 01:26:00,입금,896856,2065396,윤OO
2026-08-11 02:07:12,출금,695485,1369911,ATM 출금
