거래일시,구분,금액,거래후잔액,상대방
2026-08-02 22:00:00,입금,1629596,1629596,오OO
2026-08-03 00:02:06,출금,1358341,271255,타행이체
2026-08-03 22:44:15,입금,1615447,1886702,오OO
2026-08-03 23:46:28,출금,1368798,517904,타행이체
2026-08-03 23:22:03,입금,931205,1449109,서OO
2026-08-04 02:02:51,출금,774560,674549,타행이체
2026-08-04 23:58:32,입금,1759552,2434101,정OO
2026-08-05 02:09:08,출금,1554057,880044,타행이체
2026-08-04 13:42:10,입금,1457256,2337300,임OO
2026-08-04 15:11:03,출금,1194103,1143197,타행이체
2026-08-05 00:31:07,입금,1760203,2903400,신OO
2026-08-05 02:42:09,출금,1647733,1255667,타행이체
2026-08-05 00:52:05,입금,977737,2233404,조OO
2026-08-05 01:39:46,출금,832948,1400456,타행이체
2026-08-06 13:19:57,입금,1096450,2496906,강OO
2026-08-06 15:19:25,출금,984301,1512605,타행이체
2026-08-06 00:43:00,입금,1820621,3333226,장OO
2026-08-06 01:38:02,출금,1545892,1787334,타행이체
