거래일시,구분,금액,거래후잔액,상대방
2026-06-03 14:15:00,입금,729322,729322,본인(급여)
2026-06-11 18:43:00,입금,377767,1107089,오OO
2026-06-12 18:19:07,출금,139359,967730,정기적금 이체
2026-06-24 16:48:00,입금,490802,1458532,본인(급여)
2026-07-01 14:02:00,입금,358104,1816636,오OO
2026-07-12 12:02:00,입금,469834,2286470,본인(급여)
2026-07-13 12:13:11,출금,173464,2113006,정기적금 이체
2026-07-24 17:57:00,입금,382690,2495696,오OO
2026-07-25 16:39:04,출금,156967,2338729,정기적금 이체
2026-07-31 12:02:00,입금,859392,3198121,본인(급여)
2026-08-01 10:51:11,출금,359536,2838585,정기적금 이체
2026-08-12 10:43:00,입금,654019,3492604,오OO
2026-08-22 17:15:00,입금,329751,3822355,본인(급여)
2026-08-23 22:13:15,출금,149774,3672581,정기적금 이체
