거래일시,구분,금액,거래후잔액,상대방
2026-06-01 10:32:00,입금,771778,771778,본인(급여)
2026-06-12 16:38:00,입금,444383,1216161,임OO
2026-06-13 10:35:38,출금,191045,1025116,정기적금 이체
2026-06-22 10:08:00,입금,495085,1520201,본인(급여)
2026-06-23 03:52:23,출금,204140,1316061,정기적금 이체
2026-07-02 11:36:00,입금,767951,2084012,임OO
2026-07-03 09:50:15,출금,336973,1747039,정기적금 이체
2026-07-14 11:00:00,입금,442321,2189360,본인(급여)
2026-07-22 17:59:00,입금,766732,2956092,임OO
2026-08-02 18:41:00,입금,635112,3591204,본인(급여)
2026-08-12 14:30:00,입금,604466,4195670,임OO
2026-08-22 16:07:00,입금,482547,4678217,본인(급여)
