거래일시,구분,금액,거래후잔액,상대방
2026-07-18 11:31:00,입금,81145,81145,박OO
2026-08-28 09:49:10,입금,1511113,1592258,서OO
2026-08-28 10:40:48,출금,1363656,228602,타행이체
2026-08-28 22:01:50,입금,884420,1113022,김OO
2026-08-28 22:52:23,출금,757609,355413,타행이체
2026-08-29 00:16:17,입금,1468005,1823418,강OO
2026-08-29 00:49:13,입금,1758374,3581792,임OO
2026-08-29 03:14:52,출금,1358909,2222883,타행이체
2026-08-29 03:33:12,출금,1448483,774400,타행이체
2026-08-29 17:39:55,입금,1505426,2279826,오OO
2026-08-29 19:34:21,출금,1325876,953950,타행이체
2026-08-30 23:47:54,입금,1494659,2448609,강OO
2026-08-31 01:45:27,출금,1398176,1050433,타행이체
