거래일시,구분,금액,거래후잔액,상대방
2026-06-28 09:09:00,입금,122021,122021,장OO
2026-07-30 09:09:00,입금,162872,284893,서OO
2026-08-29 05:08:50,입금,1403969,1688862,장OO
2026-08-29 06:35:38,출금,1262439,426423,ATM 출금
2026-08-29 12:18:22,입금,2486633,2913056,정OO
2026-08-29 15:41:27,출금,2207886,705170,ATM 출금
2026-08-29 22:03:42,입금,2925176,3630346,임OO
2026-08-29 23:47:29,출금,2778108,852238,ATM 출금
2026-08-30 03:51:42,입금,1338131,2190369,한OO
2026-08-30 07:50:12,출금,1264519,925850,ATM 출금
2026-08-30 08:03:06,입금,2699860,3625710,강OO
2026-08-30 10:11:00,출금,2504391,1121319,ATM 출금
2026-08-30 15:52:20,입금,1718834,2840153,이OO
2026-08-30 18:22:19,출금,1587155,1252998,ATM 출금
