거래일시,구분,금액,거래후잔액,상대방
2026-07-21 11:14:00,입금,140743,140743,박OO
2026-08-29 02:12:52,입금,1473304,1614047,김OO
2026-08-29 05:38:35,출금,1358274,255773,ATM 출금
2026-08-29 10:48:39,입금,1065623,1321396,최OO
2026-08-29 12:25:45,출금,948500,372896,ATM 출금
2026-08-29 15:00:44,입금,1204163,1577059,최OO
2026-08-29 18:14:02,출금,1108102,468957,ATM 출금
2026-08-29 20:25:06,입금,1911293,2380250,서OO
2026-08-30 00:00:34,출금,1692725,687525,ATM 출금
2026-08-30 03:26:30,입금,2213258,2900783,최OO
2026-08-30 06:53:21,출금,2109570,791213,ATM 출금
2026-08-30 09:21:19,입금,2344966,3136179,최OO
2026-08-30 11:15:38,출금,2097164,1039015,ATM 출금
2026-08-30 17:18:59,입금,1927120,2966135,강OO
2026-08-30 19:13:05,출금,1707612,1258523,ATM 출금
