거래일시,구분,금액,거래후잔액,상대방
2026-08-04 00:00:00,입금,778634,778634,서OO
2026-08-04 01:11:49,출금,554739,223895,ATM 출금
2026-08-06 05:35:21,입금,632711,856606,권OO
2026-08-06 06:45:11,출금,522620,333986,ATM 출금
2026-08-07 05:30:34,입금,747470,1081456,권OO
2026-08-07 06:49:52,출금,641989,439467,ATM 출금
2026-08-08 02:56:45,입금,797732,1237199,정OO
2026-08-08 04:34:25,출금,666860,570339,ATM 출금
2026-08-09 02:43:08,입금,846622,1416961,한OO
2026-08-09 03:34:40,출금,572273,844688,ATM 출금
2026-08-10 01:51:16,입금,545884,1390572,조OO
2026-08-10 02:50:02,출금,390886,999686,ATM 출금
