거래일시,구분,금액,거래후잔액,상대방
2026-08-04 08:00:00,입금,3422995,3422995,오OO
2026-08-04 09:56:17,출금,3249126,173869,ATM 출금
2026-08-04 16:55:39,입금,3158912,3332781,윤OO
2026-08-04 19:25:26,출금,2811779,521002,ATM 출금
2026-08-04 23:33:47,입금,2649377,3170379,장OO
2026-08-05 01:56:05,출금,2334881,835498,ATM 출금
2026-08-05 09:26:05,입금,1204087,2039585,김OO
2026-08-05 11:16:44,출금,1117004,922581,ATM 출금
2026-08-05 20:20:09,입금,2973784,3896365,정OO
2026-08-05 22:56:45,출금,2855226,1041139,ATM 출금
2026-08-06 05:31:53,입금,2109279,3150418,오OO
2026-08-06 07:37:44,출금,1903461,1246957,ATM 출금
