거래일시,구분,금액,거래후잔액,상대방
2026-06-04 09:37:00,입금,1061820,1061820,오하윤
2026-06-10 11:48:00,출금,215176,846644,인건비
2026-06-10 17:12:00,입금,416093,1262737,오하윤
2026-06-14 16:50:00,입금,561859,1824596,권수아
2026-06-26 11:41:00,입금,1015448,2840044,서채원
2026-06-27 15:21:00,입금,835673,3675717,한예은
2026-06-30 09:54:00,입금,1286088,4961805,한예은
2026-07-01 16:05:00,입금,680150,5641955,권수아
2026-07-04 17:24:00,입금,1311843,6953798,윤지민
2026-07-05 17:18:00,입금,932929,7886727,오하윤
2026-07-09 09:53:00,입금,1064532,8951259,오하윤
2026-07-12 11:46:00,출금,396524,8554735,관리비
2026-07-13 17:13:00,입금,799749,9354484,한예은
2026-07-13 17:43:00,입금,755007,10109491,서채원
2026-07-15 09:20:00,입금,926690,11036181,서채원
2026-07-19 12:06:00,입금,978727,12014908,서채원
2026-07-20 13:58:00,입금,497736,12512644,윤지민
2026-07-27 16:59:00,입금,911650,13424294,서채원
2026-07-29 10:23:00,입금,1377957,14802251,오하윤
2026-08-02 14:51:00,입금,1293140,16095391,이민준
2026-08-09 10:28:00,출금,400563,15694828,임대료
2026-08-10 13:24:00,출금,294401,15400427,매입대금
2026-08-16 12:42:00,입금,733632,16134059,오하윤
2026-08-16 16:44:00,입금,798468,16932527,이민준
2026-08-18 16:47:00,입금,689666,17622193,한예은
2026-08-22 17:59:00,입금,1183041,18805234,권수아
2026-08-27 11:09:00,입금,801574,19606808,윤지민
2026-08-27 11:12:00,입금,978043,20584851,윤지민
2026-08-28 16:08:00,입금,1083691,21668542,윤지민
2026-08-28 17:13:00,입금,883863,22552405,권수아
2026-08-29 13:24:00,입금,555813,23108218,한예은
