거래일시,구분,금액,거래후잔액,상대방
2026-06-07 14:45:00,입금,188765,188765,이OO
2026-06-08 20:14:00,입금,77341,266106,최OO
2026-06-10 12:20:00,입금,120963,387069,신OO
2026-06-10 20:41:00,입금,210060,597129,강OO
2026-06-30 15:35:00,출금,302670,294459,재료비
2026-07-12 09:29:00,입금,223324,517783,이OO
2026-07-12 16:12:00,입금,51507,569290,최OO
2026-07-12 16:20:00,입금,265355,834645,이OO
2026-07-16 10:29:00,입금,297361,1132006,신OO
2026-07-16 11:15:00,입금,159889,1291895,최OO
2026-07-23 15:49:00,입금,237495,1529390,이OO
2026-07-24 13:35:00,입금,68897,1598287,이OO
2026-07-24 17:54:00,출금,275452,1322835,생활비
2026-07-25 15:31:00,입금,62439,1385274,최OO
2026-08-06 11:53:00,입금,118149,1503423,강OO
2026-08-08 17:31:00,입금,122875,1626298,최OO
2026-08-17 17:09:00,입금,109145,1735443,최OO
2026-08-21 13:33:00,입금,107432,1842875,신OO
2026-08-21 16:26:00,입금,128691,1971566,이OO
2026-08-22 13:52:00,출금,277401,1694165,통신비
2026-08-28 15:49:00,입금,113228,1807393,이OO
