거래일시,구분,금액,거래후잔액,상대방
2026-08-03 13:00:00,입금,1995061,1995061,조OO
2026-08-03 13:34:18,출금,1884658,110403,타행이체
2026-08-03 09:27:16,입금,1244847,1355250,서OO
2026-08-03 10:36:02,출금,1055060,300190,타행이체
2026-08-03 22:13:26,입금,1379377,1679567,장OO
2026-08-04 01:05:38,출금,1123577,555990,타행이체
2026-08-04 01:59:04,입금,1824622,2380612,오OO
2026-08-04 03:40:29,출금,1680500,700112,타행이체
2026-08-04 23:34:11,입금,836161,1536273,정OO
2026-08-05 00:37:26,출금,767264,769009,타행이체
2026-08-05 17:01:10,입금,1573891,2342900,장OO
2026-08-05 18:50:48,출금,1372961,969939,타행이체
2026-08-05 09:59:13,입금,1493719,2463658,오OO
2026-08-05 11:37:17,출금,1272836,1190822,타행이체
2026-08-06 09:49:52,입금,1203878,2394700,이OO
2026-08-06 12:11:18,출금,1157708,1236992,타행이체
2026-08-06 01:21:09,입금,1201690,2438682,오OO
2026-08-06 03:03:47,출금,1109375,1329307,타행이체
